run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.8543046357615894,0.6835384615384615,0.7491645781119465,0.7073643410852712,0.7491645781119466,0.012636899948120117,362.171875
1,0.8278145695364238,0.7108796296296296,0.6322590011614402,0.6541578576462298,0.6322590011614402,0.011945962905883789,362.16015625
2,0.8675496688741722,0.7025547445255474,0.6482824427480915,0.6685689201053555,0.6482824427480917,0.01190495491027832,362.244140625
3,0.8211920529801324,0.6759678230266466,0.7564102564102564,0.6998895841001104,0.7564102564102564,0.009921073913574219,361.8525390625
4,0.8145695364238411,0.6821266968325792,0.7376968503937008,0.7012436404748446,0.7376968503937008,0.010866880416870117,361.6767578125
5,0.8543046357615894,0.6401587301587301,0.7460981047937569,0.6688596491228069,0.746098104793757,0.009274005889892578,362.2841796875
6,0.8410596026490066,0.6800205444273241,0.8077260755048288,0.7123809523809523,0.8077260755048288,0.009829998016357422,362.201171875
7,0.8543046357615894,0.7049731182795699,0.8040271132376395,0.7363492063492063,0.8040271132376396,0.010023832321166992,361.9619140625
8,0.8344370860927153,0.6757832562917309,0.785923141186299,0.7051011639715647,0.785923141186299,0.009845972061157227,362.146484375
9,0.8741721854304636,0.7020905923344948,0.8411764705882353,0.7423902307623238,0.8411764705882352,0.0100250244140625,362.380859375
